3556,80,14952,-448,-206,-15
3440,96,14984,-367,-312,-19
3456,200,14932,-331,-372,0
3408,140,14744,-353,-308,51
3424,224,14776,-452,-376,13
3500,156,14784,-466,-301,-23
3400,16,14788,-378,-152,-52
3444,76,14960,-283,-262,-46
3448,284,14992,-197,-333,-24
3524,208,14868,-96,-355,-24
3480,96,14664,-384,-359,-73
3392,84,14764,-480,-148,-47
3384,-4,14696,-276,-360,-23
3532,140,14676,-267,-200,-7
3384,212,15148,-231,-213,-46
3332,120,14884,-215,-151,-127
3436,76,14708,-119,-299,-122
3356,108,14824,-98,-454,-67
3340,148,14740,-143,-235,-77
3360,72,14724,-229,-183,-17
3604,176,14852,-267,-90,9
3276,252,14648,-409,-260,-96
3288,128,14920,-306,-345,-112
3560,52,14868,-247,-370,13
3456,148,14852,-193,-367,-83
3532,160,14808,-297,-68,-62
3384,124,14652,-478,-394,-67
3412,104,14736,-401,-446,21
3252,116,14808,-291,-443,-19
3332,232,14924,-143,-398,21
3400,344,14768,-342,-224,-55
3592,256,14872,-457,-235,-84
3444,12,14968,-409,-414,-58
3612,-8,14792,-199,-591,-53
3444,0,14684,-108,-406,1
3476,116,14712,-194,-144,35
3320,244,14780,-378,-222,5
3588,224,14884,-399,-399,-51
3480,132,15064,-351,-260,-123
3424,44,15032,-230,-154,-146
3376,60,14772,-208,-349,-17
3424,84,14808,-215,-573,17
3488,84,14628,-305,-445,78
3476,0,14728,-406,-209,-31
3464,40,14756,-356,-228,-78
3472,24,14852,-201,-362,12
3412,212,14836,-260,-434,16
3572,220,14832,-449,-343,-75
3512,108,14992,-417,-253,-59
3404,-24,14884,-239,-215,-35
3584,-12,14660,-146,-343,-47
3352,0,14760,-248,-390,-20
3384,-4,14828,-276,-223,-5
3412,248,14724,-280,-137,7
3384,188,14756,-353,-425,-100
3532,136,14756,-342,-551,-187
3644,-108,14844,-538,-213,-187
3444,-92,14768,-481,-380,-155
3540,-64,14788,-296,-504,25
3628,-108,14764,-149,-266,65
3460,140,14800,-159,-11,-11
3464,44,14720,-236,-297,-4
3448,160,14788,-235,-486,42
3532,56,14696,-209,-409,93
3636,0,14916,-197,-47,36
3576,88,14736,-429,42,-73
3516,-48,14764,-356,-198,-97
3500,-52,14804,-290,-436,-111
3468,-12,14792,-263,-246,-81
3460,-4,14652,-339,-197,-60
3412,136,15028,-362,-204,-11
3480,92,14904,-376,-184,-60
3424,12,14828,-273,-344,-110
3508,-28,14844,-260,-288,-116
3460,104,14876,-270,-227,-18
3412,-120,14644,-378,-176,20
3392,52,14756,-369,-262,-58
3380,-8,14828,-256,-293,-45
3456,12,14812,-136,-240,-48
3480,16,14796,-150,-232,-111
3384,-44,14864,-155,-327,-14
3448,48,14660,-182,-313,37
3472,256,14784,-246,-270,-45
3460,20,14848,-349,-326,-89
3492,-136,14904,-252,-247,-35
3580,-124,14844,-174,-270,-51
3332,128,14812,-123,-317,9
3400,80,14664,-278,-314,-6
3444,4,14696,-378,-317,-50
3404,76,14856,-327,-261,-24
3416,12,14812,-368,-467,-34
