3860,300,14828,-402,-866,268
3664,308,14716,-183,-761,204
4032,260,14228,-211,-341,44
3952,344,14480,-273,741,-311
3596,476,14668,-460,1025,-488
3004,416,14884,-309,175,-412
3428,556,15168,-272,-768,-117
3688,344,15376,-160,-190,-5
3588,364,14888,-176,-330,86
3640,496,14772,-84,-909,-72
3676,256,14580,-177,-868,-6
3760,572,14664,-315,-419,-31
3848,548,14520,-439,180,-106
3652,364,14896,-395,95,-109
3504,312,14680,-273,-76,-16
3668,528,14560,-412,-117,-22
3560,464,15068,-612,-1,1
3400,540,15140,-649,-646,-143
3532,416,14808,-539,-967,-102
3796,300,14884,-514,-639,-109
3720,192,14712,-417,-223,-65
3500,244,14732,-294,-144,-127
3708,260,14632,-219,-110,-38
3552,384,14740,-291,-79,-76
3528,308,14892,-318,-356,122
3532,324,14876,-350,-292,107
3572,272,14484,-502,-549,-52
3776,276,14712,-509,-282,-107
3724,196,14508,-543,-61,-116
3596,232,14744,-428,-240,-100
3652,272,14588,-457,-253,-15
3804,260,14668,-646,-96,-172
3332,260,15012,-581,53,-172
3628,160,14872,-361,-64,-2
3640,164,14556,-429,-365,6
3584,232,14892,-767,-226,-169
3392,36,14756,-828,-79,-150
3392,64,14828,-590,-280,-147
3552,-12,14968,-292,-370,-181
3636,-96,14900,-238,-488,-12
3464,136,14864,-358,-760,73
3504,72,14772,-283,-693,191
3620,176,14728,-27,-772,179
3700,-24,14764,491,-843,387
3776,192,14828,1041,-704,416
3592,308,14976,1505,-583,380
3852,552,14828,1303,-113,178
3512,588,14732,627,-260,105
3696,484,14768,-244,-449,-42
3732,380,14732,-412,-891,-30
3972,288,14912,-296,-658,97
3952,496,14652,202,-234,196
3884,548,14904,679,215,211
3764,768,15276,1228,977,68
3828,736,15276,1717,1487,38
4068,300,15172,2257,2738,-84
2812,768,15600,3020,4039,209
3028,1536,14724,3034,5200,612
3188,1688,14600,2381,7600,-43
1632,1876,14264,2007,9399,-398
1664,2020,14388,1534,11376,285
1060,1940,14320,-28,11795,-598
-1396,2092,13424,-1113,8113,-1346
-1684,1812,14680,-1771,3765,-1529
-1840,1584,14544,-2396,1573,-1370
-1412,1340,15192,-3242,1927,-1252
-1228,1176,14760,-4086,2053,-923
-1556,956,14736,-5343,1023,-1068
-1784,844,15272,-6511,-185,-944
-1456,-188,15164,-7564,-84,-949
-1848,-568,15112,-7944,-439,-811
-1492,-1296,15028,-8336,-938,-841
-1652,-1656,14680,-8664,-1726,-862
-1684,-2432,14652,-9136,-2661,-921
-1280,-3204,14796,-9210,-3424,-571
-1212,-3876,14908,-9281,-3762,-318
-1304,-4208,14884,-8257,-3819,-343
-620,-4732,14456,-7629,-3870,-452
-488,-5244,14408,-6892,-4388,-626
-368,-5888,14140,-6382,-5312,-638
244,-6208,13880,-6386,-6354,-834
636,-6564,13712,-6350,-7317,-1084
1540,-7192,14036,-5808,-8369,-837
1696,-7432,13512,-5168,-9483,-705
2484,-7904,13588,-3986,-10951,-486
